Piano key number ,MIDI note ,Helmholtz name[5] ,Note,Frequency
,,,,
108,119,b′′′′′,B8,7902.133
107,118,a♯′′′′′/b♭′′′′′ ,A♯8/B♭8 ,7458.62
106,117,a′′′′′ ,A8 ,7040
105,116,g♯′′′′′/a♭′′′′′ ,G♯8/A♭8 ,6644.875
104,115,g′′′′′ ,G8 ,6271.927
103,114,f♯′′′′′/g♭′′′′′ ,F♯8/G♭8 ,5919.911
102,113,f′′′′′ ,F8 ,5587.652
101,112,e′′′′′ ,E8 ,5274.041
100,111,d♯′′′′′/e♭′′′′′ ,D♯8/E♭8 ,4978.032
99,110,d′′′′′ ,D8 ,4698.636
98,109,c♯′′′′′/d♭′′′′′ ,C♯8/D♭8 ,4434.922
97,20,G♯͵͵/A♭͵͵ ,G♯0/A♭0 ,25.95654
96,19,G͵͵ ,G0 ,24.49971
95,18,F♯͵͵/G♭͵͵ ,F♯0/G♭0 ,23.12465
94,17,F͵͵ ,F0 ,21.82676
93,16,E͵͵ ,E0 ,20.60172
92,15,D♯͵͵/E♭͵͵ ,D♯0/E♭0 ,19.44544
91,14,D͵͵ ,D0 ,18.35405
90,13,C♯͵͵/D♭͵͵ ,C♯0/D♭0 ,17.32391
89,12,C͵͵ sub-contra-octave ,C0 Double Pedal C ,16.3516
88,108,c′′′′′ 5-line octave ,C8 Eighth octave ,4186.009
87,107,b′′′′ ,B7 ,3951.066
86,106,a♯′′′′/b♭′′′′ ,A♯7/B♭7 ,3729.31
85,105,a′′′′ ,A7 ,3520
84,104,g♯′′′′/a♭′′′′ ,G♯7/A♭7 ,3322.438
83,103,g′′′′ ,G7 ,3135.963
82,102,f♯′′′′/g♭′′′′ ,F♯7/G♭7 ,2959.955
81,101,f′′′′ ,F7 ,2793.826
80,100,e′′′′ ,E7 ,2637.02
79,99,d♯′′′′/e♭′′′′ ,D♯7/E♭7 ,2489.016
78,98,d′′′′ ,D7 ,2349.318
77,97,c♯′′′′/d♭′′′′ ,C♯7/D♭7 ,2217.461
